studio_title,youtube_id,studio_state,api_state,intended_publish_at,expected_state_now,canonical,parent_long_id,duplicate_of,superseded_by,registry_status,evidence,confidence,proposed_action
"What You Would See Falling Into a Black Hole","wOlnj7nZWJM","PRIVATE","private","","PRIVATE",false,"","B2STcIAF1lY","","historical_duplicate","historical_of:B2STcIAF1lY","HIGH","KEEP_PRIVATE"
"Would You Look Back?","lIHb_tyxQSM","PRIVATE","private","","PRIVATE",false,"","svYOx07OrIM","","historical_duplicate","historical_of:svYOx07OrIM","HIGH","KEEP_PRIVATE"
"Time Appears to Stop at a Black Hole","2C-eiSMsBLc","PRIVATE","private","","PRIVATE",false,"","tUAdhOnMW2g","","historical_duplicate","historical_of:tUAdhOnMW2g","HIGH","KEEP_PRIVATE"
"Falling In Wouldn't Feel Like Falling","IqII5mVGdrs","PRIVATE","private","","PRIVATE",false,"","L2OFjL4neOo","","historical_duplicate","historical_of:L2OFjL4neOo","HIGH","KEEP_PRIVATE"
"Cross This Line and You Never Come Back","IwpO33AJaPQ","PRIVATE","private","","PRIVATE",false,"","JRfhE6yWom4","","historical_duplicate","historical_of:JRfhE6yWom4","HIGH","KEEP_PRIVATE"
"Falling In Wouldn't Feel Like Falling","L2OFjL4neOo","PUBLIC","public","2026-08-06T11:30:09Z","PUBLIC",true,"3xrxdmaOwJI","","","public","approved_public_canonical","HIGH","KEEP_PUBLIC"
"Why This Line Is a Point of No Return #Space #Shorts","JRfhE6yWom4","PUBLIC","public","2026-08-05T20:00:05Z","PUBLIC",true,"3xrxdmaOwJI","","","public","approved_public_canonical","HIGH","KEEP_PUBLIC"
"It Rains Glass Sideways","mGwSCdgxQO4","PRIVATE","private","","UNKNOWN",false,"","","","unregistered","private_unmapped","LOW","INVESTIGATE"
"Where Is Everybody?","8DxCTXUlw74","PRIVATE","private","","PRIVATE",false,"","1HuV8o3gOss","","historical_duplicate","historical_of:1HuV8o3gOss","HIGH","KEEP_PRIVATE"
"The Point of No Return Explained","w1ej9u0rPTA","PRIVATE","private","","PRIVATE",true,"3xrxdmaOwJI","","","private","intentionally_excluded_or_accidental_early","HIGH","KEEP_PRIVATE"
"Cross This Line and You Never Come Back","kv1Yz74_S10","PRIVATE","private","","PRIVATE",false,"","JRfhE6yWom4","","historical_duplicate","historical_of:JRfhE6yWom4","HIGH","KEEP_PRIVATE"
"The Discovery That Doesn't Add Up","YsyPMhNmHMk","PRIVATE","private","","PRIVATE",true,"tfTkMdE7qqw","","","private","intentionally_excluded_or_accidental_early","HIGH","KEEP_PRIVATE"
"Is the Universe Older Than We Thought?","gPCpMsB0w2E","PRIVATE","private","","PRIVATE",true,"tfTkMdE7qqw","","","private","intentionally_excluded_or_accidental_early","HIGH","KEEP_PRIVATE"
"What JWST's Infrared Eyes Can See","IsPLdq0oSe8","PRIVATE","private","","UNKNOWN",false,"","","","unregistered","private_unmapped","LOW","INVESTIGATE"
"What You Would See Falling Into a Black Hole","nX84ileqPKw","PRIVATE","private","","PRIVATE",false,"","B2STcIAF1lY","","historical_duplicate","historical_of:B2STcIAF1lY","HIGH","KEEP_PRIVATE"
"Time Appears to Stop at a Black Hole","EO-44QH4glI","PRIVATE","private","","PRIVATE",false,"","tUAdhOnMW2g","","historical_duplicate","historical_of:tUAdhOnMW2g","HIGH","KEEP_PRIVATE"
"The Discovery That Doesn't Add Up","oFzKgHbAw4M","PRIVATE","private","","UNKNOWN",false,"","","","unregistered","private_unmapped","LOW","INVESTIGATE"
"What JWST's Infrared Eyes Can Do #Shorts #Space #Telescope","SGv-wH0XbtI","PRIVATE","private","","UNKNOWN",false,"","","","unregistered","private_unmapped","LOW","INVESTIGATE"
"Orbit Asks: Is the Universe Older Than We Thought?","Tw2OdQABU4E","PRIVATE","private","","UNKNOWN",false,"","","","unregistered","private_unmapped","LOW","INVESTIGATE"
"Massive Black Holes Found Too Early? #shorts #JWST #space","5MysOlOqLDY","PRIVATE","private","","UNKNOWN",false,"","","","unregistered","private_unmapped","LOW","INVESTIGATE"
"How Did Black Holes Get So Big So Fast? #shorts #jwst #space","yTljUMV5Gms","PRIVATE","private","","UNKNOWN",false,"","","","unregistered","private_unmapped","LOW","INVESTIGATE"
"JWST's Impossible Galaxies: Are We Wrong? #shorts #jwst #astronomy","QW0cn-O9k5g","PRIVATE","private","","UNKNOWN",false,"","","","unregistered","private_unmapped","LOW","INVESTIGATE"
"What If the First Alien Clue Is Already Here?","KcKBixwmcV4","PUBLIC","public","2026-08-03T11:30:08Z","PUBLIC",true,"Mo93x0fxB1Q","","","public","approved_public_canonical","HIGH","KEEP_PUBLIC"
"Why Haven't We Found Aliens Yet? #FermiParadox #Space #Shorts","1HuV8o3gOss","PUBLIC","public","2026-08-02T23:17:18Z","PUBLIC",true,"Mo93x0fxB1Q","","","public","approved_public_canonical","HIGH","KEEP_PUBLIC"
"Don't Look Up: The Zoo Hypothesis #Shorts #Aliens #Science","rFJoOdQAc9c","PRIVATE","private","","PRIVATE",true,"Mo93x0fxB1Q","","","private","intentionally_excluded_or_accidental_early","HIGH","KEEP_PRIVATE"
"Space Is Rude About Distance","dPMJQp2gMNc","PRIVATE","private","","PRIVATE",true,"Mo93x0fxB1Q","","","private","intentionally_excluded_or_accidental_early","HIGH","KEEP_PRIVATE"
"Eyeball Planets Explained","Web2otrTcT0","PRIVATE","private","","PRIVATE",false,"","","","unregistered","intentionally_excluded_or_accidental_early","HIGH","KEEP_PRIVATE"
"The Point of No Return Explained","5jjJ5CHrbCs","PRIVATE","private","","PRIVATE",false,"","w1ej9u0rPTA","","historical_duplicate","historical_of:w1ej9u0rPTA","HIGH","KEEP_PRIVATE"
"What Your Eyes Would See","icedH_gK8JE","PRIVATE","private","","PRIVATE",false,"","","","unregistered","intentionally_excluded_or_accidental_early","HIGH","KEEP_PRIVATE"
"Would You Look Back?","t1hTGIH8O44","PRIVATE","private","","PRIVATE",false,"","svYOx07OrIM","","historical_duplicate","historical_of:svYOx07OrIM","HIGH","KEEP_PRIVATE"
"Could Any of These Alien Worlds Host Life?","1qts3tIsg9c","PRIVATE","private","","PRIVATE",false,"","","","unregistered","intentionally_excluded_or_accidental_early","HIGH","KEEP_PRIVATE"
"Time Stops at the Edge — For Them","HvAKGjx4lv0","PRIVATE","private","","PRIVATE",false,"","","","unregistered","intentionally_excluded_or_accidental_early","HIGH","KEEP_PRIVATE"
"Falling In Wouldn't Feel Like Falling","jyzrl9ueKq4","PRIVATE","private","","PRIVATE",false,"","L2OFjL4neOo","","historical_duplicate","historical_of:L2OFjL4neOo","HIGH","KEEP_PRIVATE"
"Cross This Line and You Never Come Back","2777WlMGM8M","PRIVATE","private","","PRIVATE",false,"","JRfhE6yWom4","","historical_duplicate","historical_of:JRfhE6yWom4","HIGH","KEEP_PRIVATE"
"Could Any of These Alien Worlds Host Life?","i18OD5Ab748","PRIVATE","private","","UNKNOWN",false,"","","","unregistered","private_unmapped","LOW","INVESTIGATE"
"Eyeball Planets Explained","LQtNmzXJW4w","PRIVATE","private","","UNKNOWN",false,"","","","unregistered","private_unmapped","LOW","INVESTIGATE"
"The Hottest Nights in the Universe","e8-rKGv37o4","PRIVATE","private","","UNKNOWN",false,"","","","unregistered","private_unmapped","LOW","INVESTIGATE"
"Three Suns in the Sky — Real Alien Worlds","PYhQ0x9HcPM","PRIVATE","private","","UNKNOWN",false,"","","","unregistered","private_unmapped","LOW","INVESTIGATE"
"We Found Planets Made of Diamond","niqnBlzqaFs","PRIVATE","private","","UNKNOWN",false,"","","","unregistered","private_unmapped","LOW","INVESTIGATE"
"It Rains Glass Sideways on This Alien World","aX_7Qg_qzyo","PRIVATE","private","","UNKNOWN",false,"","","","unregistered","private_unmapped","LOW","INVESTIGATE"
"The Point of No Return Explained","5nMieBeymKU","PRIVATE","private","","PRIVATE",false,"","w1ej9u0rPTA","","historical_duplicate","historical_of:w1ej9u0rPTA","HIGH","KEEP_PRIVATE"
"What Your Eyes Would See","olnaYqeOtFs","PRIVATE","private","","UNKNOWN",false,"","","","unregistered","private_unmapped","LOW","INVESTIGATE"
"Would You Look Back?","80S5E-AWFhA","PRIVATE","private","","PRIVATE",false,"","svYOx07OrIM","","historical_duplicate","historical_of:svYOx07OrIM","HIGH","KEEP_PRIVATE"
"Time Stops at the Edge — For Them","hdlr1soUwNA","PRIVATE","private","","UNKNOWN",false,"","","","unregistered","private_unmapped","LOW","INVESTIGATE"
"Falling In Wouldn't Feel Like Falling","C4GuFEFGySI","PRIVATE","private","","PRIVATE",false,"","L2OFjL4neOo","","historical_duplicate","historical_of:L2OFjL4neOo","HIGH","KEEP_PRIVATE"
"Cross This Line and You Never Come Back","eZGAhF8dN7w","PRIVATE","private","","PRIVATE",false,"","JRfhE6yWom4","","historical_duplicate","historical_of:JRfhE6yWom4","HIGH","KEEP_PRIVATE"
"What If the First Alien Clue Is Already Here?","--CxhjNqtSY","PRIVATE","private","","PRIVATE",false,"","KcKBixwmcV4","","historical_duplicate","historical_of:KcKBixwmcV4","HIGH","KEEP_PRIVATE"
"What If Aliens Are Watching Us?","MO19iXYCu0c","PRIVATE","private","","PRIVATE",false,"","rFJoOdQAc9c","","historical_duplicate","historical_of:rFJoOdQAc9c","HIGH","KEEP_PRIVATE"
"Why haven't we found aliens yet? The answer is terrifying #FermiParadox #Space #Shorts","z-DLqoSoEBo","PRIVATE","private","","PRIVATE",false,"","1HuV8o3gOss","","historical_duplicate","historical_of:1HuV8o3gOss","HIGH","KEEP_PRIVATE"
"This Is Why We Haven't Met Aliens Yet #space #aliens #fermiparadox","UWwNKYf_aU8","PRIVATE","private","","PRIVATE",false,"","dPMJQp2gMNc","","historical_duplicate","historical_of:dPMJQp2gMNc","HIGH","KEEP_PRIVATE"
